Propinsi ,KK JAMBAN SEHAT,KUNJUNGAN NEONATAL,PUS KB,BBLR 
Papua Barat,126419,3224,57431,142
Papua Barat Daya,142845,5134,0,196
Papua Selatan,76036,6130,0,245
Papua Tengah,72920,6476,0,294
Papua,176977,13350,76138,630
Maluku,349748,26809,109429,763
Kalimantan Utara,123190,12626,62358,819
Sulawesi Utara,695479,32910,242682,863
Maluku Utara,259574,21428,111066,938
Kep. Riau,622433,111426,175273,1077
Kep. Bangka Belitung,469422,22680,181059,1196
Bengkulu,488470,30329,245338,1259
Riau,1601422,111426,651972,1363
Gorontalo,302052,19083,126249,1484
Kalimantan Tengah,510917,38316,335619,1690
DKI Jakarta,2420084,199800,0,1705
Sulawesi Tenggara,585145,44080,226688,1758
Jambi,910044,57711,444320,1802
Sumatera Utara,3432589,240774,1170209,2157
Aceh,1200287,85980,457031,2211
Bali,1107616,62558,425311,2214
DI Yogyakarta,1088699,32690,332128,2574
NTB,1493205,86863,606125,3327
Lampung,2151810,137642,1067986,3380
Sumatera Selatan,2407211,147600,951799,3387
Sumatera Barat,1172351,80277,496150,3558
Kalimantan Timur,964608,55072,371294,3800
Kalimantan Barat,1172853,77235,596050,3856
Banten,2954029,220423,1320216,3998
Kalimantan Selatan,961193,61348,540200,4127
NTT,1131750,82364,321259,5701
Jawa Timur,11937918,511828,4773081,20690
Jawa Barat,13964144,807156,5442445,24588
Jawa Tengah,11248940,457116,4156431,25121
Sulawesi Tengah,670472,43849,287793,2299
Sulawesi Selatan,2407211,134492,846652,10101
Sulawesi Barat,406775,23261,125367,1638
Papua Pegunungan,26380,3623,0,55