KECAMATAN,% REKAM,% CETAK,% AKTA,% KIA
SAWAHAN,"77,8","74,29","39,29","35,36"
NGETOS,"75,67","72,38","36,43","15,38"
BERBEK,"75,83","70,76","40,76","25,5"
LOCERET,"76,37","71,45","38,02","23,76"
PACE,"76,4","71,37","38,43","33,69"
PRAMBON,"76,1","69,81","37,41","20,45"
NGRONGGOT,"74,87","68,61","32,27","16,37"
KERTOSONO,"76,03","69,82","40,65","13,53"
PATIANROWO,"76,25","70,27","40,77","32,41"
BARON,"75,29","69,96","38,71","28,52"
TANJUNGANOM,"76,3","71,02","41,1","32,54"
SUKOMORO,"75,86","71,06","39,84","28,19"
NGANJUK,"76,44","71,9","46,74","42,88"
BAGOR,"76,65","71,92","39,86","18,81"
WILANGAN,"77,12","71,01","27,5","22,12"
REJOSO,"77,8","73,2","41,87","21,34"
GONDANG,"77,33","71,32","41,94","45,68"
NGLUYU,"81,77","75,97","34,47","22,45"
LENGKONG,"77,64","71,6","38,91","33,38"
JATIKALEN,"78,35","72,96","41,98","49,43"