Provinsi,2015,2016,2017,2018,2019,2020,2021,2022
Aceh,1677691,1800552,1908368,2034233,2157852,2205305,2322325,2445237
Sumatera Utara,5430866,5706756,5996387,6337005,6637388,6746979,7041791,7354849
Sumatera Barat,1907852,2021827,2143974,2267804,2374526,2421828,2540726,2666233
Riau,2939865,3097414,3295647,3519078,3707460,3784031,3993748,4216014
Jambi,1817749,1900208,2019310,2157310,2272956,2318983,2441636,2571025
Sumatera Selatan,2989848,3114845,3290533,3476891,3631605,3691852,3851524,4021655
Bengkulu,824873,871315,923862,977732,1018850,1037047,1083123,1131644
Lampung,3053205,3191586,3328299,3483160,3632255,3679741,3798383,3924081
Kepulauan Bangka Belitung,839393,875527,934354,998080,1039803,1048188,1099327,1153125
Kepulauan Riau,762320,822105,868983,925171,993001,1016818,1068932,1124507
DKI Jakarta,15343085,16491682,17583978,18784550,19883246,20221821,21005527,21856081
Jawa Barat,11870130,12844197,13771596,14813501,15771589,16107497,16848540,17633513
Jawa Tengah,14177668,15107286,15990989,16937984,17793289,18099368,18828974,19595936
DI Yogyakarta,2338535,2471107,2591744,2725253,2861419,2910802,3007129,3108965
Jawa Timur,17254628,18408190,19423725,20505772,21595399,22001528,22774560,23591769
Banten,1728181,1897581,2072603,2274374,2468196,2547902,2704601,2870379
Bali,3543210,3741003,3915827,4131234,4358125,4419493,4493144,4571135
Nusa Tenggara Barat,1401456,1505830,1562936,1670574,1785845,1831568,1917534,2007459
Nusa Tenggara Timur,656960,718549,773061,831803,888263,903382,953798,1006535
Kalimantan Barat,2009037,2102174,2230396,2392540,2528200,2581368,2734990,2896949
Kalimantan Tengah,1029417,1086904,1161733,1258845,1349193,1382115,1468055,1558861
Kalimantan Selatan,2055667,2157918,2279557,2429800,2579832,2630515,2752091,2880599
Kalimantan Timur,2505882,2598415,2706677,2855060,3009663,3061586,3191941,3330398
Kalimantan Utara,85598,87735,101557,314779,142862,149170,166268,184295
Sulawesi Utara,685092,736627,790208,852189,912397,929382,992139,1059057
Sulawesi Tengah,913021,987329,1047193,1100749,1141577,1156168,1231203,1310420
Sulawesi Selatan,3160260,3403256,3613260,3872364,4118741,4206134,4433027,4674462
Sulawesi Tenggara,653409,708352,757342,823665,892333,914779,981292,1051868
Gorontalo,318152,272075,358722,386447,418865,428051,459799,493227
Sulawesi Barat,252112,341200,289936,312225,334252,342346,368099,395302
Maluku,213710,234492,252643,274635,297236,304476,325243,347035
Maluku Utara,196031,210934,226615,246207,267340,275182,300820,327718
Papua Barat,248507,270779,290732,311305,333493,338832,356738,375565
Papua,419908,419961,419961,419961,419961,443498,459805,476967